Category,Name,Price,Source,Purpose,,Quantity
Electronics,120mm Computer Fans(2x),$6.93,https://www.aliexpress.com/item/3256810146153442.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%2013.32%21USD%206.39%21%21USD%206.39%21%21%21%402103212b17799149160825064e6c60%2112000052001041945%21ct%21US%217130607314%21%211%210%21&_gl=1*1gxki7g*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,Siphons Fumes ,,1
,DC Power Connector ,$5.88,https://www.aliexpress.com/item/3256807024765801.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%202.40%21USD%202.40%21%21USD%202.40%21%21%21%402103212b17799149160825064e6c60%2112000039820548997%21ct%21US%217130607314%21%211%210%21&_gl=1*1vusue7*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,To Power Solder Fume,,1
,12V DC Power Supply,$4.61,https://www.aliexpress.com/item/3256810116617342.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%204.61%21USD%204.61%21%21USD%204.61%21%21%21%402103212b17799149160825064e6c60%2112000051898666755%21ct%21US%217130607314%21%211%210%21&_gl=1*1kyj9u6*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,To Power Solder Fume ,,1
,Led Light Strip ,$1.91,https://www.aliexpress.com/item/2251832840703910.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%202.12%21USD%201.91%21%21USD%201.91%21%21%21%402103212b17799149160825064e6c60%2112000033991626789%21ct%21US%217130607314%21%211%210%21&_gl=1*oxp5yg*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,To Give Visibility when Soldering,,1
,,,,,,
Category,Name,Price,Source,Purpose,,Quantity
Hardware,Double Sided Sticker,$1.19,https://www.aliexpress.com/item/3256807364840362.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&sourceType=570&pdp_npi=6%40dis%21USD%21USD%203.99%21USD%201.19%21%21USD%201.19%21%21%21%402103212b17799149160825064e6c60%2112000041259494127%21ct%21US%217130607314%21%211%210%21&pdp_ext_f=%7B%22cart2PdpParams%22%3A%7B%22sourceType%22%3A%22570%22%2C%22cartSource%22%3A%22main%22%7D%7D&_gl=1*13f4v3y*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,To stick Flexible Duct to Window,,1
,Acrylic Hinges,$3.55,https://www.aliexpress.com/item/3256809638860640.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%203.55%21USD%203.55%21%21USD%203.55%21%21%21%402103212b17799149160825064e6c60%2112000050287456176%21ct%21US%217130607314%21%211%210%21&_gl=1*11glev1*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,To Hinge the Fume Hood Doors,,1
,Flexible Duct,$6.94,https://www.aliexpress.com/item/3256809222896043.html?spm=a2g0o.cart.0.0.68b638daMlm7DT&mp=1&pdp_npi=6%40dis%21USD%21USD%2013.88%21USD%206.94%21%21USD%206.94%21%21%21%402103212b17799149160825064e6c60%2112000049016943241%21ct%21US%217130607314%21%211%210%21&_gl=1*qnx16h*_gcl_aw*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_dc*R0NMLjE3NzU1MjQ5NTMuRUFJYUlRb2JDaE1JNnBHZDZzbmFrd01WVVZ6X0FSMGtPeThKRUFRWUFTQUJFZ0tLM3ZEX0J3RQ..*_gcl_au*MTU3Mjk0NTk3Ny4xNzc2NDY5NDA1*_ga*MjA2NzEyNDg1NC4xNzcxMzg3Mzg1*_ga_VED1YSGNC7*czE3Nzk5MDk3MjAkbzU5JGcxJHQxNzc5OTE0OTE3JGozNSRsMCRoMA..,Channels Fumes,,1
